away_score,clear_chances,corners,data_source,date,fotmob_match_id,fouls,ground_duels_won,ground_duels_won_pct,home_score,last_updated,match_id,opposition_half_passes,possession_pct,red_cards,shots_on_target,status,successful_dribbles,successful_dribbles_pct,team,team_id,total_shots,touches_in_opposition_box,utc_time,xg
1,3.0,2.0,fotmob-parse-bot,2026-06-24,4667761,19.0,35.0,49.0,2,2026-06-28,51,119.0,55.0,0.0,4.0,Completed,6.0,75.0,Switzerland,8,6.0,14.0,2026-06-24T19:00:00.000Z,1.11
1,3.0,7.0,fotmob-parse-bot,2026-06-24,4667761,13.0,36.0,51.0,2,2026-06-28,51,152.0,45.0,0.0,7.0,Completed,8.0,62.0,Canada,5,13.0,23.0,2026-06-24T19:00:00.000Z,1.66
1,1.0,5.0,fotmob-parse-bot,2026-06-24,4667762,9.0,32.0,57.0,3,2026-06-28,52,173.0,54.0,0.0,5.0,Completed,8.0,62.0,Bosnia and Herzegovina,6,14.0,20.0,2026-06-24T19:00:00.000Z,0.68
1,3.0,5.0,fotmob-parse-bot,2026-06-24,4667762,14.0,24.0,43.0,3,2026-06-28,52,167.0,46.0,0.0,3.0,Completed,3.0,43.0,Qatar,7,9.0,16.0,2026-06-24T19:00:00.000Z,0.77
3,1.0,7.0,fotmob-parse-bot,2026-06-24,4667768,10.0,24.0,41.0,0,2026-06-28,53,202.0,46.0,0.0,5.0,Completed,2.0,25.0,Scotland,12,14.0,27.0,2026-06-24T22:00:00.000Z,1.04
3,6.0,6.0,fotmob-parse-bot,2026-06-24,4667768,11.0,35.0,59.0,0,2026-06-28,53,308.0,54.0,0.0,9.0,Completed,11.0,65.0,Brazil,9,21.0,35.0,2026-06-24T22:00:00.000Z,4.33
2,5.0,9.0,fotmob-parse-bot,2026-06-24,4667769,10.0,54.0,54.0,4,2026-06-28,54,218.0,69.0,0.0,11.0,Completed,16.0,55.0,Morocco,10,22.0,45.0,2026-06-24T22:00:00.000Z,3.76
2,1.0,1.0,fotmob-parse-bot,2026-06-24,4667769,18.0,46.0,46.0,4,2026-06-28,54,67.0,31.0,0.0,2.0,Completed,11.0,55.0,Haiti,11,9.0,9.0,2026-06-24T22:00:00.000Z,1.22
2,5.0,2.0,fotmob-parse-bot,2026-06-26,4667775,13.0,52.0,60.0,3,2026-06-28,55,158.0,47.0,0.0,3.0,Completed,9.0,69.0,Turkey,16,9.0,22.0,2026-06-26T02:00:00.000Z,3.01
2,4.0,9.0,fotmob-parse-bot,2026-06-26,4667775,13.0,34.0,40.0,3,2026-06-28,55,188.0,53.0,0.0,7.0,Completed,7.0,41.0,United States,13,18.0,36.0,2026-06-26T02:00:00.000Z,2.13
0,0.0,1.0,fotmob-parse-bot,2026-06-26,4667776,9.0,35.0,47.0,0,2026-06-28,56,158.0,44.0,0.0,2.0,Completed,5.0,31.0,Paraguay,14,7.0,7.0,2026-06-26T02:00:00.000Z,0.24
0,0.0,3.0,fotmob-parse-bot,2026-06-26,4667776,6.0,39.0,53.0,0,2026-06-28,56,159.0,56.0,0.0,5.0,Completed,11.0,46.0,Australia,15,12.0,14.0,2026-06-26T02:00:00.000Z,0.55
